record_id,person_name,entity_type,innovation_or_knowledge,location,source,page,evidence_confidence
S1-P2-01,Himmat Ram Bhambhu,Innovator/Conservationist,Paryavaran Van; planting 5 lakh+ trees; wildlife conservation,"Harima, Nagaur, Rajasthan",51st Shodhyatra,2,high
S1-P2-02,Sundaram Ji / Sunda Ram Verma,Farmer/Innovator,Tree-growing technique using one litre of water; reported 80–85% success,"Nagaur, Rajasthan",51st Shodhyatra,"2,4",high
S1-P2-03,Rameshwar Lal / Rameshwar Prasad Ji,Innovator,Khejri grafting; thornless Khejri; 14 varieties mentioned,"Nagaur, Rajasthan",51st Shodhyatra,"2,4",high
S1-P2-04,Santosh Pachar,Innovator,New carrot variety,Rajasthan,51st Shodhyatra,2,high
S1-P2-05,Rahulchand Panchariya / Rawalchand Panchariya,Farmer/Innovator,Sweet-potato varieties; low-water cultivation; millet-based products,"Nagaur, Rajasthan",51st Shodhyatra,"2,4",high
S1-P2-06,Ashok,Entrepreneur/Farmer,Organic farming; employment for women,Rajasthan,51st Shodhyatra,2,high
S1-P3-01,Dharamveer Khambojji,Rural Entrepreneur,Electric wheelchair; fruit juices,"Kuchera, Rajasthan",51st Shodhyatra,3,high
S1-P3-02,Sataram,Farmer,Uses camels for farming,Rajasthan,51st Shodhyatra,3,high
S1-P3-03,Kanaramji,Innovator/Traditional Knowledge Holder,Leg-supporting crutch; traditional animal remedies,Rajasthan,51st Shodhyatra,"3,4",high
S1-P3-04,Phuli Devi,Traditional Healer,Traditional healing knowledge,Rajasthan,51st Shodhyatra,3,high
S1-P3-05,Rami Devi,Traditional Healer,Traditional healing knowledge,Rajasthan,51st Shodhyatra,3,high
S1-P2-07,Rajaram Tak,Teacher,Solar-system model,"Atusar, Rajasthan",51st Shodhyatra,2,high
S1-P2-08,Shravan Kumar Soni,Teacher/Local Innovator,Using bonsai plants to make home spaces greener,"Atusar, Rajasthan",51st Shodhyatra,2,high
S1-P3-06,Prahalad,Farmer,Cultivating Khejri despite resistance; generated income,"Mundwa, Rajasthan",51st Shodhyatra,3,high
S1-P3-07,Vishnu,Teacher,Archery training for tribal-community students,Rajasthan,51st Shodhyatra,3,high
